codi	Acumulado Ahorro	Prestamo Fondo 1	Acumulado Ahorro	Acumulado Empresa 5
0151	1425.76	28320	0
2361	1158.49	4100	1200
2663	737.1	2903	429
2792	897.75	1950	627
0737	1266.54	7859	0
5073	779	557	754
2819	1274.7	958	0
1558	738.51	10242	676
4105	695.49	2382	0
4146	1170.08	8623	0
0528	1337.17	1042	0
0594	892.49	8998	817
2554	962.32	1696	0
3145	813.05	2978	759
0338	1465.04	20210	0
0818	1382.55	3659	0
3182	1380.15	1091	0
4456	1063.47	4462	289
0297	1305.71	683	0
0342	1549.23	7755	0
0703	1294.16	2193	0
2964	854.7	1865	0
2402	1471.5	1167	0
3356	1166.55	1340	0
0227	2080.33	11939	0
2826	0	5600	0
2926	989.72	6614	285
3191	1209.92	26835	322
4278	1008.52	719	281
4777	890.37	564	658
5120	1224.91	3642	1015
0542	1387.02	1085	0
4013	1117.76	4313	0
4488	925.9	1199	534
0930	2006.69	43465	0
1488	1503.6	35515	0
5090	1087.44	5138	1114
0290	2080.33	7470	0
3178	1165.5	1531	0
4431	1594.34	5612	414
0774	865.92	7557	0
1484	802.98	605	693
1660	901.07	3887	0
2333	809.92	1639	0
4044	1303.05	1290	0
0554	1154.86	15203	0
0925	1158	24829	23730
0172	2327.65	15871	12600
0362	2208	4784	4700
0817	1818.45	11686	0
1553	989.05	694	1084
4771	1957.25	5290	0
0479	1576.8	2473	12840
5059	993.6	11571	936
1470	1248.4	17344	0
3562	851.86	8283	0
4961	1931.7	29064	1819
5095	1376.16	19495	1350
0363	1345.55	4614	29850
1867	1603.25	8537	10200
2021	1733.5	19163	23796
0946	1254.42	0	381
2552	968.5	0	1050
2966	723.45	0	214
3728	701.19	0	208
4062	604.8	0	1188
4402	694.95	0	613
4588	796.87	0	884
4934	1068.45	0	988
5030	507	0	0
5043	564.04	0	572
5057	1027.23	0	936
5060	1016.07	0	988
5107	1223.47	0	1200
5116	1217.7	0	1200
5117	664.65	0	594
5207	1007.47	0	941
5217	859.95	0	891
5240	246	0	1342
5248	583.27	0	544
5256	1165.2	0	1200
5259	1059	0	941
5344	856.68	0	718
5510	875.5	0	1603
